,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,z_outlier
3724828,164,2023-08-27 04:45:06+00:00,51.1892296,4.8423619,22.0,0.0,324.0,0.0,1180.0,0.0,85.0,0.0,82.0,84.0,True
11492784,155,2023-06-06 11:17:21+00:00,50.9976551,3.802084,41.0,41.0,276.0,345.0,1337.0,1427.0,90.0,90.0,93.0,92.0,False
1995263,116,2023-01-26 04:07:49+00:00,50.7744328,3.8728769,11.0,4.0,331.0,269.0,801.0,800.0,57.0,56.0,49.0,47.0,False
2080886,164,2023-06-29 15:17:40+00:00,51.1907638,5.1145056,27.0,34.0,262.0,262.0,797.0,796.0,80.0,77.0,68.0,69.0,False
9125913,175,2023-02-02 15:52:58+00:00,51.1904151,5.1135677,21.0,18.0,213.0,269.0,796.0,803.0,81.0,82.0,82.0,82.0,False
2168914,164,2023-07-23 08:49:53+00:00,51.1738807,4.9044118,28.0,0.0,427.0,403.0,1906.0,0.0,82.0,0.0,84.0,84.0,True
13692926,123,2023-04-09 06:28:49+00:00,51.044541,5.2506463,36.0,33.0,345.0,358.0,1692.0,1683.0,81.0,82.0,81.0,85.0,False
15335724,175,2023-06-07 13:00:17+00:00,51.215345,4.4210326,36.0,30.0,224.0,262.0,799.0,802.0,82.0,83.0,81.0,81.0,False
8345727,164,2023-08-09 05:25:30+00:00,51.2217614,5.4371841,24.0,37.0,217.0,203.0,799.0,798.0,83.0,83.0,82.0,87.0,False
5432805,175,2023-02-21 00:56:17+00:00,51.190653,5.1130905,11.0,15.0,258.0,293.0,796.0,795.0,73.0,77.0,71.0,70.0,False
12266373,116,2023-03-17 15:07:28+00:00,51.1746083,3.5840995,34.0,35.0,196.0,172.0,807.0,792.0,80.0,77.0,82.0,76.0,False
3523190,164,2023-01-29 11:18:24+00:00,51.1811022,4.8287197,11.0,11.5,225.5,218.5,798.5,804.0,81.0,80.0,79.5,81.0,False
5461940,155,2023-02-06 14:56:52+00:00,51.1802395,3.5759526,27.0,30.0,207.0,224.0,799.0,802.0,83.0,83.0,85.0,86.0,False
14113224,164,2023-04-11 13:16:02+00:00,50.9364452,5.3073998,12.0,17.0,6.0,324.0,0.0,799.0,11.0,65.0,8.0,54.0,True
15169848,164,2023-07-07 15:19:53+00:00,51.1791203,4.4674462,50.0,48.0,351.0,338.0,1429.0,1419.0,87.0,87.0,84.0,84.0,False
317169,175,2023-02-16 13:20:24+00:00,50.9360732,5.3122114,16.0,13.0,227.0,272.0,800.0,799.0,81.0,82.0,76.0,79.0,False
10558967,116,2023-03-04 14:01:15+00:00,51.1805959,3.5754613,22.0,37.0,207.0,175.0,805.0,797.0,78.0,76.0,82.0,79.0,False
17646024,116,2023-03-17 12:49:29+00:00,51.0167134,3.7721096,26.0,27.0,293.0,255.0,799.0,794.0,63.0,58.0,58.0,52.0,False
13551080,175,2023-05-03 15:34:15+00:00,51.137386,4.5688306,34.0,40.0,207.0,248.0,1027.0,801.0,83.0,86.0,86.0,87.0,False
