,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,time_diff,corr_iqr_outlier
12181467,155,2023-06-01 11:07:50+00:00,50.7709692,3.8724763,31.0,39.0,331.0,358.0,1287.0,1313.0,82.0,84.0,83.0,85.0,53.0,True
915618,155,2023-06-20 01:46:39+00:00,51.0152394,3.7754477,25.0,28.0,269.0,282.0,803.0,798.0,66.0,68.0,61.0,64.0,60.0,False
13182879,175,2023-04-18 22:47:22+00:00,51.1906167,5.1128713,15.0,15.0,317.0,379.0,799.0,804.0,64.0,61.0,59.0,55.0,60.0,False
9279709,175,2023-02-02 10:35:53+00:00,51.0352213,5.3141337,26.0,34.0,389.0,445.0,1497.0,1500.0,81.0,83.0,86.0,86.0,59.0,True
3256896,116,2023-03-31 12:20:41+00:00,50.7692267,3.8721101,11.0,10.0,0.0,17.0,0.0,0.0,10.0,8.0,12.0,9.0,1.0,True
5149408,116,2023-02-24 12:19:58+00:00,51.0386616,3.6983359,21.0,27.0,200.0,175.0,790.0,796.0,77.0,76.0,82.0,79.0,2.0,False
17074864,155,2023-05-16 05:36:24+00:00,50.8580156,3.6101203,16.0,26.0,207.0,265.0,833.0,923.0,82.0,86.0,83.0,87.0,4.0,True
15083715,175,2023-03-17 20:41:56+00:00,51.2074789,5.2706118,35.0,35.0,382.0,458.0,1912.0,1936.0,82.0,83.0,85.0,85.0,63.0,True
14657628,155,2023-02-14 07:49:02+00:00,51.1805858,3.5754903,9.0,8.0,282.0,324.0,801.0,803.0,65.0,60.0,70.0,65.0,59.0,False
17061236,116,2023-05-05 02:49:00+00:00,50.7744716,3.8728234,22.0,27.0,293.0,217.0,796.0,789.0,67.0,66.0,62.0,60.0,6.0,False
4749170,116,2023-09-12 07:02:14+00:00,50.7698217,3.8718195,29.0,40.0,220.0,172.0,802.0,796.0,78.0,76.0,80.0,77.0,7.0,False
2395068,175,2023-01-25 15:46:30+00:00,51.1678118,5.1674105,18.0,8.0,386.0,451.0,1499.0,1499.0,87.0,88.0,92.0,92.0,61.0,True
17598008,175,2023-06-08 16:10:12+00:00,51.2111927,4.4221959,42.0,39.0,369.0,424.0,1274.0,1284.0,83.0,83.0,84.0,82.0,60.0,True
7972388,175,2023-02-15 16:36:15+00:00,51.1906992,5.1131238,11.0,13.0,434.0,472.0,797.0,801.0,51.0,51.0,41.0,41.0,61.0,False
16762302,155,2023-06-27 19:00:57+00:00,51.0389252,3.6955979,35.0,39.0,186.0,203.0,882.0,853.0,88.0,87.0,87.0,87.0,54.0,False
6450491,116,2023-05-24 15:55:02+00:00,50.929405800000005,3.9629184,38.0,37.66666666666666,311.0,281.3333333333333,1315.3333333333333,1460.6666666666667,86.0,84.0,89.33333333333333,87.33333333333333,3.0,True
11350171,116,2023-08-08 20:40:40+00:00,50.9711989,3.7918925,38.0,37.0,175.0,13.0,799.0,0.0,88.0,31.0,93.0,43.0,20.0,True
283736,116,2023-09-01 15:32:19+00:00,50.928979,3.9626995,41.0,41.0,189.0,200.0,847.0,1040.0,86.0,85.0,88.0,90.0,57.0,True
11087022,116,2023-02-24 00:37:52+00:00,51.0164747,3.7721996,22.0,32.0,207.0,169.0,806.0,802.0,82.0,78.0,85.0,81.0,6.0,False
10771836,155,2023-06-21 16:31:59+00:00,50.8621116,3.8133171,42.0,45.0,338.0,338.0,1676.0,1627.0,89.0,90.0,89.0,89.0,4.0,True
17012580,175,2023-07-13 12:37:45+00:00,50.935235,5.3085722,29.0,23.0,238.0,293.0,803.0,804.0,83.0,81.0,74.0,74.0,61.0,False
10836943,175,2023-03-26 11:03:31+00:00,51.1906077,5.1143669,31.0,13.0,203.0,248.0,803.0,795.0,81.0,80.0,86.0,85.0,50.0,False
17643502,175,2023-03-31 02:31:02+00:00,51.1902813,5.1133056,12.0,21.0,269.0,282.0,796.0,802.0,73.0,82.0,71.0,79.0,60.0,False
11955626,116,2023-05-04 08:39:56+00:00,51.0326216,3.7366846,27.0,36.0,217.0,169.0,805.0,807.0,78.0,77.0,82.0,79.0,120.0,False
10978369,116,2023-02-08 13:15:16+00:00,51.1548368,3.614275,45.0,35.0,193.0,165.0,810.0,799.0,86.0,87.0,87.0,89.0,7.0,False
3797922,155,2023-04-25 11:17:44+00:00,51.0013631,3.7996297,30.0,31.5,356.5,363.5,1693.0,1659.0,85.0,85.5,87.0,87.0,4.0,True
1621774,175,2023-06-10 21:17:05+00:00,51.1898464,5.1107809,46.0,61.0,3.0,13.0,0.0,0.0,81.0,82.0,84.0,82.0,60.0,True
4611885,175,2023-05-25 08:08:47+00:00,51.215952,4.4213848,27.0,28.0,220.0,272.0,799.0,802.0,82.0,82.0,81.0,82.0,61.0,False
703014,155,2023-01-24 23:05:42+00:00,50.7704063,3.8720849,22.0,27.0,175.0,200.0,784.0,799.0,83.0,87.0,86.0,87.0,60.0,False
9766978,116,2023-07-22 14:31:10+00:00,51.0167043,3.7716558,23.0,26.0,355.0,296.0,795.0,795.0,57.0,55.0,49.0,44.0,41.0,False
14054166,116,2023-04-27 15:14:57+00:00,50.9432278,4.0383277,39.0,59.0,193.0,0.0,801.0,0.0,86.0,51.0,90.0,60.0,7.0,True
17525049,175,2023-04-06 17:15:24+00:00,51.1881549,5.1008563,13.0,57.0,220.0,13.0,802.0,0.0,80.0,78.0,85.0,80.0,59.0,True
948589,116,2023-03-04 11:52:23+00:00,51.1808781,3.5751274,31.0,33.0,189.0,172.0,793.0,797.0,81.0,77.0,84.0,84.0,12.0,False
4193204,116,2023-05-12 06:42:45+00:00,51.0349238,3.7120688,24.0,38.0,231.0,175.0,919.0,802.0,83.0,76.0,85.0,79.0,5.0,True
15862788,116,2023-03-02 00:07:15+00:00,51.0144864,3.7785874,17.0,28.0,210.0,179.0,797.0,799.0,79.0,78.0,77.0,76.0,47.0,False
13566183,155,2023-05-17 11:28:45+00:00,51.0835617,3.7179566,38.0,42.0,169.0,213.0,840.0,957.0,93.0,91.0,96.0,94.0,51.0,True
5165472,155,2023-06-23 14:47:18+00:00,51.0348631,3.7138197,40.0,31.0,189.0,217.0,794.0,798.0,84.0,83.0,84.0,82.0,10.0,False
2576110,116,2023-03-01 09:01:12+00:00,50.7423663,3.6026386,13.0,32.0,210.0,179.0,808.0,799.0,77.0,76.0,79.0,77.0,55.0,False
9364339,155,2023-01-30 02:21:43+00:00,51.0164949,3.7726976,21.0,7.0,300.0,313.0,797.0,805.0,55.0,61.0,53.0,57.0,61.0,False
16782305,155,2023-06-29 04:51:59+00:00,50.7429447,3.6044724,25.0,37.0,189.0,210.0,797.0,798.0,81.0,84.0,82.0,84.0,3.0,False
8772351,175,2023-03-13 12:04:35+00:00,51.2461881,5.5428469,18.0,26.0,238.0,279.0,806.0,806.0,81.0,81.0,79.0,79.0,61.0,False
8202785,155,2023-02-13 06:16:12+00:00,50.9192678,3.6441288,28.0,33.0,210.0,334.0,810.0,1446.0,83.0,87.0,85.0,89.0,60.0,True
13113611,155,2023-02-15 07:46:26+00:00,50.939148,3.777268,32.0,27.0,358.0,386.0,1909.0,1918.0,84.0,86.0,92.0,95.0,63.0,True
1667248,155,2023-05-01 18:42:22+00:00,50.7663336,3.6243569,40.0,41.0,369.0,379.0,1773.0,1767.0,90.0,90.0,85.0,89.0,61.0,True
14710166,155,2023-01-25 14:21:30+00:00,51.0154723,3.7746486,9.0,5.0,276.0,334.0,799.0,797.0,62.0,56.0,55.0,52.0,60.0,False
3381462,116,2023-02-09 06:33:39+00:00,50.8514855,3.6016185,17.0,42.0,196.0,169.0,797.0,796.0,78.0,76.0,83.0,81.0,56.0,True
11360016,175,2023-08-16 05:19:00+00:00,51.1264824,5.251127,25.0,33.0,193.0,241.0,799.0,803.0,86.0,86.0,88.0,88.0,61.0,False
13061770,116,2023-08-23 04:18:45+00:00,50.9092736,3.6465307,38.0,36.0,193.0,162.0,798.0,798.0,81.0,81.0,89.0,88.0,60.0,False
2282339,116,2023-09-08 12:49:06+00:00,50.948931,4.0270826,42.0,42.0,203.0,175.0,799.0,801.0,82.0,80.0,82.0,79.0,50.0,False
1260523,116,2023-01-24 03:25:28+00:00,50.7745192,3.8730748,14.0,6.0,279.0,234.0,799.0,792.0,66.0,63.0,62.0,58.0,48.0,False
13848249,175,2023-01-29 01:53:07+00:00,51.1906802,5.1130741,2.0,7.0,272.0,327.0,798.0,799.0,75.0,75.0,70.0,68.0,61.0,False
15565235,116,2023-08-02 03:54:31+00:00,50.856786,3.6080975,16.0,17.0,524.0,486.0,805.0,798.0,30.0,31.0,31.0,30.0,56.0,True
7946792,175,2023-09-08 03:17:59+00:00,51.222158,4.4433923,25.0,26.0,238.0,293.0,799.0,803.0,82.0,83.0,81.0,81.0,53.0,False
14223519,116,2023-05-08 14:13:41+00:00,51.1691914,3.5922307,46.0,45.0,348.0,303.0,1578.0,1570.0,86.0,82.0,88.0,83.0,58.0,True
62380,116,2023-08-12 16:52:22+00:00,51.0355881,3.7109578,42.0,38.0,189.0,169.0,803.0,796.0,84.0,81.0,85.0,83.0,56.0,False
15443065,116,2023-09-05 03:22:01+00:00,50.7749001,3.873263,22.0,30.0,248.0,193.0,799.0,797.0,73.0,73.0,69.0,67.0,55.0,False
13830969,116,2023-02-08 13:21:15+00:00,51.1200324,3.6764903,43.0,46.0,286.0,234.0,1403.0,1414.0,86.0,86.0,91.0,89.0,2.0,True
8051117,175,2023-04-09 23:05:05+00:00,51.1906163,5.1138646,16.0,13.0,224.0,269.0,806.0,806.0,82.0,81.0,80.0,79.0,60.0,False
5971115,116,2023-06-09 02:14:06+00:00,50.9483829,4.0283238,29.0,30.0,282.0,231.0,801.0,794.0,69.0,65.0,63.0,61.0,4.0,False
12343185,175,2023-03-02 04:25:52+00:00,51.1630407,4.7110202,12.0,22.0,396.0,458.0,1867.0,1894.0,83.0,82.0,84.0,83.0,61.0,True
412750,175,2023-07-08 10:58:43+00:00,50.9306308,5.3281058,45.0,51.0,213.0,251.0,795.0,806.0,82.0,82.0,85.0,87.0,29.0,False
7775596,175,2023-04-15 15:06:38+00:00,51.1906573,5.1146699,28.0,20.0,207.0,251.0,801.0,796.0,82.0,82.0,84.0,82.0,60.0,False
11097190,155,2023-02-16 14:18:45+00:00,51.0137922,3.7795785,12.0,17.0,369.0,379.0,800.0,798.0,58.0,57.0,49.0,47.0,59.0,False
572616,155,2023-03-30 07:03:42+00:00,51.0359241,3.7100583,31.0,28.0,189.0,210.0,797.0,797.0,83.0,84.0,85.0,87.0,62.0,False
