,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,time_diff,week,corr_z_outlier,LOF_status,month
13516045,116,2023-05-09 14:44:29+00:00,51.0237055,3.7582816,24.0,28.0,231.0,179.0,800.0,800.0,78.0,77.0,76.0,74.0,58.0,19,corr_ok,lof_ok,May
3666843,123,2023-02-10 09:46:59+00:00,51.1983626,4.4331189,29.0,28.0,231.0,203.0,874.0,847.0,73.0,79.0,74.0,81.0,61.0,6,corr_ok,lof_ok,February
10850812,116,2023-05-19 04:41:43+00:00,50.7743919,3.8728023,17.0,28.0,224.0,179.0,808.0,797.0,78.0,77.0,78.0,75.0,1.0,20,corr_ok,lof_ok,May
6677942,164,2023-06-12 13:03:55+00:00,51.1907816,5.1148466,42.0,42.0,224.0,220.0,797.0,798.0,81.0,80.0,81.0,80.0,59.0,24,corr_ok,lof_outlier,June
12974265,116,2023-03-17 12:30:24+00:00,51.0167221,3.772114,19.0,18.0,393.0,355.0,809.0,788.0,50.0,43.0,45.0,41.0,44.0,11,corr_ok,lof_outlier,March
11393642,164,2023-04-24 20:48:10+00:00,51.1906501,5.1149498,13.0,22.0,234.0,231.0,798.0,805.0,81.0,79.0,77.0,77.0,60.0,17,corr_ok,lof_ok,April
15714050,164,2023-06-07 02:53:57+00:00,51.1900435,5.111977,18.0,25.0,251.0,241.0,794.0,795.0,82.0,81.0,76.0,77.0,61.0,23,corr_ok,lof_ok,June
6451974,116,2023-05-12 14:14:38+00:00,50.9432795,4.0392764,22.0,35.0,217.0,179.0,795.0,797.0,77.0,77.0,77.0,75.0,9.0,19,corr_ok,lof_ok,May
3947233,116,2023-06-12 18:46:03+00:00,50.8340632,3.8124523,46.0,48.0,175.0,155.0,807.0,805.0,85.0,85.0,91.0,87.0,55.0,24,corr_ok,lof_ok,June
525931,116,2023-05-03 14:27:15+00:00,51.0358104,3.7099812,27.0,36.0,220.0,179.0,797.0,809.0,77.0,76.0,79.0,77.0,11.0,18,corr_ok,lof_ok,May
6528245,116,2023-09-05 06:38:10+00:00,50.8513406,3.6011744,34.0,36.0,220.0,175.0,790.0,801.0,78.0,77.0,77.0,78.0,7.0,36,corr_ok,lof_ok,September
2639062,116,2023-02-14 03:13:57+00:00,50.7702541,3.8716144,15.0,20.0,262.0,207.0,805.0,800.0,70.0,67.0,65.0,62.0,13.0,7,corr_ok,lof_ok,February
598031,123,2023-03-20 23:34:40+00:00,51.1905516,5.1123529,53.0,57.0,3.0,3.0,0.0,0.0,62.0,74.0,63.0,74.0,54.0,12,corr_ok,lof_ok,March
7459484,116,2023-07-14 14:12:00+00:00,50.8551199,3.6059542,31.0,27.0,348.0,307.0,802.0,805.0,60.0,55.0,51.0,46.0,10.0,28,corr_ok,lof_ok,July
8826927,164,2023-07-23 13:12:40+00:00,51.1906793,5.1149499,40.0,30.0,241.0,248.0,825.0,875.0,82.0,81.0,81.0,82.0,19.0,29,corr_ok,lof_ok,July
7939737,116,2023-09-04 02:16:00+00:00,50.949007,4.0281309,21.0,23.0,358.0,282.0,807.0,807.0,56.0,53.0,47.0,44.0,49.0,36,corr_ok,lof_ok,September
14596100,164,2023-04-19 03:31:25+00:00,50.9342999,5.3143853,12.0,14.0,345.0,355.0,800.0,799.0,62.0,59.0,49.0,49.0,53.0,16,corr_ok,lof_ok,April
6086149,116,2023-02-13 10:17:29+00:00,50.9936611,3.80236,38.0,40.0,296.0,262.0,1406.0,1390.0,86.0,82.0,86.0,84.0,1.0,7,corr_ok,lof_ok,February
4988127,116,2023-07-20 11:24:52+00:00,51.0399748,3.6933788,35.0,40.0,224.0,175.0,794.0,800.0,78.0,77.0,76.0,76.0,9.0,29,corr_ok,lof_ok,July
14547251,116,2023-03-15 14:08:05+00:00,51.0137673,3.7796544,13.0,25.0,255.0,203.0,797.0,798.0,68.0,67.0,65.0,62.0,1.0,11,corr_ok,lof_ok,March
17365994,123,2023-02-09 05:19:37+00:00,51.1243027,5.2546541,29.0,31.0,248.0,224.0,796.0,797.0,66.0,73.0,66.0,71.0,61.0,6,corr_ok,lof_outlier,February
12661694,116,2023-02-14 04:15:01+00:00,50.7979363,3.8996562,36.0,34.0,341.0,207.0,1401.0,1117.0,86.0,81.0,89.0,85.0,15.0,7,corr_ok,lof_ok,February
4229720,116,2023-05-26 03:13:24+00:00,50.94884435,4.027491700000001,18.0,23.0,256.5,201.5,801.0,803.0,71.0,70.0,64.5,64.0,20.0,21,corr_ok,lof_ok,May
16355529,123,2023-04-18 09:54:19+00:00,51.2462465,5.5434738,22.0,28.0,244.0,227.0,794.0,797.0,74.0,80.0,76.0,79.0,61.0,16,corr_ok,lof_ok,April
8233439,116,2023-02-27 18:04:18+00:00,50.9334476,3.6382785,22.0,34.0,203.0,172.0,797.0,798.0,78.0,77.0,82.0,79.0,11.0,9,corr_ok,lof_ok,February
13193719,116,2023-04-26 09:55:18+00:00,50.9622061,4.001641,41.0,40.0,193.0,162.0,785.0,802.0,83.0,82.0,82.0,81.0,57.0,17,corr_ok,lof_ok,April
11625539,116,2023-02-05 08:46:28+00:00,51.0136376,3.7802402,15.0,26.0,227.0,179.0,797.0,800.0,76.0,77.0,73.0,73.0,53.0,5,corr_ok,lof_ok,February
652321,116,2023-02-10 17:39:49+00:00,50.8644778,3.8137042,28.0,34.0,182.0,169.0,801.0,799.0,85.0,81.0,88.0,83.0,55.0,6,corr_ok,lof_ok,February
11001423,116,2023-02-10 15:23:47+00:00,50.8548959,3.6056755,16.0,23.0,276.0,224.0,803.0,805.0,67.0,66.0,63.0,62.0,4.0,6,corr_ok,lof_ok,February
1049497,123,2023-03-02 12:42:05+00:00,51.2077949,5.2736812,36.0,33.0,386.0,369.0,1922.0,1919.0,79.0,81.0,0.0,84.0,63.0,9,corr_outlier,lof_ok,March
12707627,116,2023-02-22 15:29:26+00:00,50.7708468,3.8719975,29.0,33.0,196.0,162.0,800.0,802.0,80.0,80.0,85.5,83.5,59.0,8,corr_ok,lof_ok,February
727796,164,2023-08-14 05:25:33+00:00,51.1180692,5.2577476,30.0,35.0,234.0,227.0,799.0,799.0,81.0,80.0,80.0,81.0,20.0,33,corr_ok,lof_ok,August
12015660,116,2023-09-04 04:08:05+00:00,50.9480347,4.0277056,22.0,32.0,224.0,179.0,799.0,802.0,78.0,76.0,81.0,78.0,56.0,36,corr_ok,lof_ok,September
1213619,123,2023-02-01 21:03:38+00:00,51.1835152,5.0745789,41.0,30.0,403.0,389.0,1920.0,1918.0,75.0,79.0,71.0,81.0,63.0,5,corr_ok,lof_ok,February
6683107,116,2023-06-21 06:23:32+00:00,50.8389069,3.8167872,40.0,36.0,196.0,162.0,798.0,801.0,86.0,82.0,89.0,86.0,2.0,25,corr_ok,lof_ok,June
7545424,164,2023-09-06 20:14:50+00:00,50.9739265,5.3462667,39.0,43.0,410.0,400.0,1825.0,1840.0,84.0,82.0,79.0,81.0,60.0,36,corr_ok,lof_ok,September
5173272,116,2023-06-27 16:32:23+00:00,50.7701613,3.8713906,31.0,41.0,213.0,175.0,798.0,801.0,82.0,79.0,87.0,83.0,59.0,26,corr_ok,lof_ok,June
5578806,116,2023-04-28 02:26:32+00:00,50.949157,4.0278504,14.0,26.0,244.0,13.0,799.0,0.0,75.0,21.0,70.0,22.0,55.0,17,corr_outlier,lof_ok,April
8716313,123,2023-03-05 11:24:56+00:00,51.1655155,4.7443707,35.0,37.0,200.0,193.0,799.0,799.0,80.0,82.0,0.0,82.0,64.0,9,corr_outlier,lof_ok,March
5622371,164,2023-04-27 05:09:50+00:00,51.2015409,5.2124974,17.0,11.666666666666666,201.0,62.0,808.0,264.6666666666667,82.0,27.666666666666668,80.33333333333333,82.0,20.0,17,corr_outlier,lof_outlier,April
4839265,116,2023-02-08 12:53:14+00:00,51.1806052,3.5754716,28.0,46.0,189.0,165.0,798.0,799.0,81.0,78.0,87.0,85.0,2.0,6,corr_ok,lof_ok,February
13280792,164,2023-04-01 06:29:24+00:00,51.2222151,5.4373151,18.0,19.0,241.0,248.0,801.0,800.0,81.0,79.0,74.0,77.0,20.0,13,corr_ok,lof_outlier,April
8098991,116,2023-06-22 13:46:48+00:00,51.0379418,3.6984172,35.0,34.0,227.0,186.0,804.0,796.0,78.0,76.0,79.0,76.0,6.0,25,corr_ok,lof_ok,June
